deviceId,data,time,locationStatus,latitude,longitude,mobileStatus,netType,RSRP,RSRQ,SNR,RSSI,downlink,uplink,roaming,downstreamBandwidth,upstreamBandwidth,earfcn,band,frequency,ci,pci,tag,networkOperator,chipOperator,mcc,mnc,bluetoothStatus
3d4c6129617d84c4,11/03/2023,17.28.40,1,-3.126.579,-58.432.018,1,4G,-72,-13,16.0,-51,8,19,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.42,1,-3.126.482,-58.432.024,1,4G,-77,-14,11.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.44,1,-3.126.364,-58.431.997,1,4G,-75,-15,9.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.46,1,-3.126.267,-58.431.964,1,4G,-82,-15,9.0,-51,2,6,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.49,1,-3.126.155,-58.431.959,1,4G,-82,-15,9.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.28.55,1,-3.126.155,-58.431.959,1,4G,-87,-13,9.0,-53,4,2,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.29.25,1,-3.126.155,-58.431.959,1,4G,-115,-14,9.0,-77,5,4,-1,30000,15000,425,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.29.46,1,-3.129.256,-58.432.443,1,4G,-102,-16,9.0,-61,0,0,-1,30000,15000,425,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.29.56,1,-3.129.256,-58.432.443,1,4G,-87,-14,9.0,-51,52,103,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.30.12,1,-312.932,-58.432.376,1,4G,-82,-16,9.0,-51,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
